"filename", "language", "JavaScript", "Markdown", "HTML", "Shell Script", "YAML", "JSON", "CSS", "Docker", "comment", "blank", "total"
"/Users/hcg470/m/aovi/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 7, 9, 9, 25
"/Users/hcg470/m/aovi/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/hcg470/m/aovi/docker-compose.yml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 1, 26
"/Users/hcg470/m/aovi/generate_secret_JWT.sh", "Shell Script", 0, 0, 0, 18, 0, 0, 0, 0, 9, 9, 36
"/Users/hcg470/m/aovi/package.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"/Users/hcg470/m/aovi/server.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 15, 42, 176
"/Users/hcg470/m/aovi/services/aovi/client/brazil_admin_boundaries.geojson", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"/Users/hcg470/m/aovi/services/aovi/client/commenlist.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 1, 31, 175
"/Users/hcg470/m/aovi/services/aovi/client/commenttimeline.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 22, 51, 214
"/Users/hcg470/m/aovi/services/aovi/client/createevent.html", "HTML", 0, 0, 176, 0, 0, 0, 0, 0, 4, 59, 239
"/Users/hcg470/m/aovi/services/aovi/client/event.html", "HTML", 0, 0, 121, 0, 0, 0, 0, 0, 2, 32, 155
"/Users/hcg470/m/aovi/services/aovi/client/evententry.html", "HTML", 0, 0, 145, 0, 0, 0, 0, 0, 4, 43, 192
"/Users/hcg470/m/aovi/services/aovi/client/eventlist.html", "HTML", 0, 0, 285, 0, 0, 0, 0, 0, 3, 64, 352
"/Users/hcg470/m/aovi/services/aovi/client/eventregistration.html", "HTML", 0, 0, 111, 0, 0, 0, 0, 0, 2, 20, 133
"/Users/hcg470/m/aovi/services/aovi/client/languagepicker.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 7, 27, 130
"/Users/hcg470/m/aovi/services/aovi/client/login.html", "HTML", 0, 0, 54, 0, 0, 0, 0, 0, 0, 13, 67
"/Users/hcg470/m/aovi/services/aovi/client/navigation.js", "JavaScript", 185, 0, 0, 0, 0, 0, 0, 0, 12, 46, 243
"/Users/hcg470/m/aovi/services/aovi/client/network.html", "HTML", 0, 0, 236, 0, 0, 0, 0, 0, 1, 59, 296
"/Users/hcg470/m/aovi/services/aovi/client/overview.html", "HTML", 0, 0, 360, 0, 0, 0, 0, 0, 2, 91, 453
"/Users/hcg470/m/aovi/services/aovi/client/room.html", "HTML", 0, 0, 135, 0, 0, 0, 0, 0, 2, 46, 183
"/Users/hcg470/m/aovi/services/aovi/client/style.css", "CSS", 0, 0, 0, 0, 0, 0, 109, 0, 2, 16, 127
"/Users/hcg470/m/aovi/services/aovi/client/tabletags.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 93, 52, 281
"/Users/hcg470/m/aovi/services/aovi/client/timeline.html", "HTML", 0, 0, 274, 0, 0, 0, 0, 0, 4, 64, 342
"/Users/hcg470/m/aovi/services/aovi/index.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 8, 43, 134
"/Users/hcg470/m/aovi/services/comments/client/commentInput.js", "JavaScript", 210, 0, 0, 0, 0, 0, 0, 0, 6, 45, 261
"/Users/hcg470/m/aovi/services/comments/client/displayCommentsAsChat.js", "JavaScript", 376, 0, 0, 0, 0, 0, 0, 0, 20, 68, 464
"/Users/hcg470/m/aovi/services/comments/index.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 24, 37, 224
"/Users/hcg470/m/aovi/services/geodata/index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 9, 42
"/Users/hcg470/m/aovi/services/geodata/server/geoJsonFeature.model.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"/Users/hcg470/m/aovi/services/geodata/server/importGeoJson.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 7, 4, 35
"/Users/hcg470/m/aovi/services/rooms/index.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 21, 32, 182
"/Users/hcg470/m/aovi/services/transcription/client/audiorecorder.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 0, 1, 35, 239
"/Users/hcg470/m/aovi/services/transcription/client/managespeakers.html", "HTML", 0, 0, 239, 0, 0, 0, 0, 0, 5, 59, 303
"/Users/hcg470/m/aovi/services/transcription/client/transcribe.html", "HTML", 0, 0, 179, 0, 0, 0, 0, 0, 18, 35, 232
"/Users/hcg470/m/aovi/services/transcription/client/vad.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 23, 40, 234
"/Users/hcg470/m/aovi/services/transcription/client/voicelistener.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 1, 6, 60
"/Users/hcg470/m/aovi/services/transcription/client/voicetranscriber.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 0, 10, 35, 254
"/Users/hcg470/m/aovi/services/transcription/index.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 13, 34, 174
"/Users/hcg470/m/aovi/services/users/README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/hcg470/m/aovi/services/users/client/authForm.js", "JavaScript", 293, 0, 0, 0, 0, 0, 0, 0, 13, 81, 387
"/Users/hcg470/m/aovi/services/users/index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 28, 20, 74
"/Users/hcg470/m/aovi/services/users/js/users.authenticate.js", "JavaScript", 204, 0, 0, 0, 0, 0, 0, 0, 28, 27, 259
"/Users/hcg470/m/aovi/services/users/js/users.authorize.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 22, 20, 114
"/Users/hcg470/m/aovi/services/users/js/users.db.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 6, 18
"/Users/hcg470/m/aovi/services/users/js/users.model.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/Users/hcg470/m/aovi/services/users/js/users.router.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 6, 13, 67
"/Users/hcg470/m/aovi/services/utils/logroutes.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/hcg470/m/aovi/services/utils/must.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 3330, 6, 2315, 18, 24, 68, 109, 7, 459, 1443, 7779
