"filename", "language", "JavaScript", "Markdown", "YAML", "JSON", "Shell Script", "Docker", "HTML", "PostCSS", "comment", "blank", "total"
"/Users/hcg470/m/aovi/Dockerfile", "Docker", 0, 0, 0, 0, 0, 7, 0, 0, 9, 9, 25
"/Users/hcg470/m/aovi/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/hcg470/m/aovi/docker-compose.yml", "YAML", 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/hcg470/m/aovi/generate_secret_JWT.sh", "Shell Script", 0, 0, 0, 0, 18, 0, 0, 0, 9, 9, 36
"/Users/hcg470/m/aovi/package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"/Users/hcg470/m/aovi/server.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 15, 42, 176
"/Users/hcg470/m/aovi/services/aovi/client/brazil_admin_boundaries.geojson", "JSON", 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"/Users/hcg470/m/aovi/services/aovi/client/commenlist.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 0, 24, 174
"/Users/hcg470/m/aovi/services/aovi/client/commenttimeline.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 21, 46, 214
"/Users/hcg470/m/aovi/services/aovi/client/createevent.html", "HTML", 0, 0, 0, 0, 0, 0, 159, 0, 4, 56, 219
"/Users/hcg470/m/aovi/services/aovi/client/event.html", "HTML", 0, 0, 0, 0, 0, 0, 137, 0, 2, 32, 171
"/Users/hcg470/m/aovi/services/aovi/client/evententry.html", "HTML", 0, 0, 0, 0, 0, 0, 145, 0, 4, 43, 192
"/Users/hcg470/m/aovi/services/aovi/client/eventlist.html", "HTML", 0, 0, 0, 0, 0, 0, 563, 0, 4, 67, 634
"/Users/hcg470/m/aovi/services/aovi/client/eventregistration.html", "HTML", 0, 0, 0, 0, 0, 0, 161, 0, 2, 31, 194
"/Users/hcg470/m/aovi/services/aovi/client/languagepicker.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 2, 6, 130
"/Users/hcg470/m/aovi/services/aovi/client/login.html", "HTML", 0, 0, 0, 0, 0, 0, 78, 0, 0, 20, 98
"/Users/hcg470/m/aovi/services/aovi/client/navigation.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 0, 8, 13, 253
